"","Var1","Freq"
"1","01",1
"2","08",1
"3","20",1
"4","25",1
"5","28",16
"6","36",2
"7","37",1
"8","45",4
"9","55",1
"10","63",1
"11","77",2
"12","78",1
"13","85",1
"14","88",1
"15","95",1
"16","97",1
"17","98",1
"18","a ",1
"19","AB",2
"20","AK",1
"21","AL",78
"22","An",1
"23","AR",25
"24","At",5
"25","Au",10
"26","AZ",93
"27","BC",1
"28","Be",15
"29","Bi",1
"30","Bl",3
"31","Bo",3
"32","Ca",142
"33","CA",947
"34","Ch",7
"35","Cl",1
"36","Co",40
"37","CO",79
"38","Cr",2
"39","CT",107
"40","Cu",1
"41","DC",152
"42","De",60
"43","DE",20
"44","DF",7
"45","Do",2
"46","er",2
"47","Fi",24
"48","FL",281
"49","Fo",1
"50","Fr",2
"51","GA",275
"52","Ge",1
"53","Gr",2
"54","Ha",1
"55","He",1
"56","Hi",1
"57","Ho",2
"58","HS",1
"59","IA",41
"60","Ic",7
"61","ID",9
"62","IL",252
"63","IN",105
"64","Ir",76
"65","Ja",1
"66","Je",7
"67","Ka",1
"68","Ki",2
"69","KS",787
"70","KY",100
"71","La",9
"72","LA",132
"73","Le",5
"74","Lo",2
"75","Ma",5
"76","MA",18
"77","MB",9
"78","Mc",12
"79","MD",157
"80","Me",3
"81","ME",25
"82","Mi",44
"83","MI",121
"84","MN",73
"85","Mo",3
"86","MO",105
"87","MS",43
"88","MT",17
"89","Mu",4
"90","Na",1
"91","NB",1
"92","NC",179
"93","ND",5
"94","Ne",6
"95","NE",28
"96","NH",13
"97","NJ",106
"98","NL",1
"99","NM",27
"100","No",23
"101","NV",69
"102","NY",821
"103","OH",262
"104","OK",123
"105","ON",351
"106","Or",1
"107","OR",33
"108","Pa",2
"109","PA",343
"110","Ph",1
"111","Po",2
"112","Pr",1
"113","QC",4
"114","Ra",6
"115","Re",1
"116","Ri",31
"117","RI",9
"118","Ro",1
"119","Sa",5
"120","SC",87
"121","SD",10
"122","Se",2
"123","Sh",1
"124","SK",2
"125","So",1
"126","St",38
"127","Sw",35
"128","Ta",10
"129","Th",5
"130","TN",100
"131","Tu",1
"132","TX",656
"133","UK",93
"134","Un",5
"135","US",610
"136","UT",25
"137","VA",161
"138","VT",16
"139","Wa",2
"140","WA",51
"141","Wi",2
"142","WI",75
"143","Wo",6
"144","WV",38
"145","WY",5
"146","Za",1
