"","Var1","Freq"
"1","25",1
"2","28",2
"3","77",1
"4","88",1
"5","AB",1
"6","Al",1
"7","AL",12
"8","Ar",2
"9","AR",8
"10","At",2
"11","Au",1
"12","AZ",9
"13","BC",1
"14","Be",2
"15","Bl",2
"16","Ca",35
"17","CA",123
"18","Ch",2
"19","Co",9
"20","CO",35
"21","CT",10
"22","Cz",1
"23","DC",17
"24","De",8
"25","DE",4
"26","DF",1
"27","Do",1
"28","Ef",1
"29","er",1
"30","Fi",2
"31","FL",37
"32","Fr",1
"33","GA",30
"34","He",1
"35","Ho",1
"36","IA",15
"37","Ic",1
"38","ID",1
"39","IL",56
"40","IN",15
"41","Ir",3
"42","Ka",1
"43","Ki",1
"44","KS",107
"45","KY",15
"46","La",1
"47","LA",10
"48","Le",3
"49","Ma",2
"50","MA",5
"51","MB",14
"52","Mc",3
"53","MD",21
"54","Me",2
"55","ME",5
"56","Mi",13
"57","MI",20
"58","MN",21
"59","MO",27
"60","MS",7
"61","MT",11
"62","Mu",1
"63","NC",16
"64","ND",3
"65","NE",20
"66","NH",2
"67","NJ",18
"68","NM",5
"69","No",1
"70","NV",10
"71","NY",136
"72","OH",42
"73","OK",29
"74","ON",97
"75","OR",8
"76","Pa",1
"77","PA",67
"78","Pe",1
"79","QC",3
"80","Ra",2
"81","Ri",6
"82","RI",2
"83","Sa",5
"84","SC",9
"85","SD",7
"86","SK",4
"87","St",7
"88","Sw",3
"89","TN",21
"90","TX",165
"91","UK",11
"92","Un",1
"93","US",80
"94","UT",4
"95","VA",17
"96","Vi",1
"97","VT",1
"98","WA",10
"99","WI",28
"100","Wo",1
"101","WV",7
"102","WY",2
"103","Yo",1
