"","Var1","Freq"
"1","77",1
"2","AB",1
"3","AL",5
"4","AR",4
"5","AZ",7
"6","Bo",1
"7","Ca",7
"8","CA",58
"9","Co",7
"10","CO",9
"11","Cr",1
"12","CT",6
"13","DC",23
"14","DE",3
"15","FL",19
"16","GA",27
"17","Gr",1
"18","IA",4
"19","IL",24
"20","IN",6
"21","Ir",3
"22","Ka",1
"23","KS",49
"24","KY",5
"25","La",2
"26","LA",8
"27","Ma",1
"28","MA",1
"29","Mc",2
"30","MD",15
"31","Mi",1
"32","MI",9
"33","MN",9
"34","MO",11
"35","MS",3
"36","NC",21
"37","NE",3
"38","NH",2
"39","NJ",9
"40","NM",2
"41","NV",5
"42","NY",47
"43","OH",21
"44","OK",7
"45","ON",19
"46","OR",2
"47","PA",30
"48","Ri",1
"49","RI",1
"50","SC",6
"51","St",6
"52","TN",6
"53","TX",44
"54","UK",2
"55","US",37
"56","UT",1
"57","VA",10
"58","WA",1
"59","WI",7
"60","WV",1
