"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"""Scientists may need to seriously reconsider the cast-aside hypothesis that pathogens can play a part in diseases s<U+2026> https://t.co/JaSFHwvMIH",FALSE,0,,2019-03-06 20:03:50,TRUE,,"1103385719635173376",,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","NCDMPH",0,FALSE,FALSE,,
"Anyone can fall victim to flu. Likewise, anyone can develop sepsis as a result of flu. Know the signs and symptoms<U+2026> https://t.co/Say7A7BOkP",FALSE,0,,2019-03-06 20:03:01,TRUE,,"1103385516916047872",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","famfightflu",0,FALSE,FALSE,,
"Build, maintain or grow your community pharmacy's #flu vaccine offering to support your business and patient needs:<U+2026> https://t.co/GUedQoZGSH",FALSE,0,,2019-03-06 20:00:48,TRUE,,"1103384959048396802",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","cardinalhealth",0,FALSE,FALSE,,
"A new study finds that children born to women who have had a severe infection during #pregnancy, such as #flu, are<U+2026> https://t.co/t3DcQVWMhX",FALSE,0,,2019-03-06 19:51:35,TRUE,,"1103382639342432257",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","famfightflu",0,FALSE,FALSE,,
"Doctor<U+2019>s Hospital @OhioHealth seeing an uptick in ER visits due to the #flu &amp; it<U+2019>s bad across the country according<U+2026> https://t.co/dDMnphEsso",FALSE,0,,2019-03-06 19:28:24,TRUE,,"1103376802226028545",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JackieWSYX6",0,FALSE,FALSE,,
"As #flu season continues @PAHealthDept reports 53,962 flu cases &amp; 68 flu-related deaths so far this season. And tha<U+2026> https://t.co/FMQykfC98s",FALSE,0,,2019-03-06 19:20:00,TRUE,,"1103374691903946752",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","famfightflu",0,FALSE,FALSE,,
"This video<U+2019>s so sick!!! #broom #room #brielarson #capatainmarvel #flu @ Denver, Colorado https://t.co/nd3RK7Qc4E",FALSE,0,,2019-03-06 19:19:35,FALSE,,"1103374587046346757",,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Bro_Diggs",0,FALSE,FALSE,"-104.9836","39.7391"
"If you touch a surface with the #flu virus on it and then touch your eyes, nose or mouth you can get the flu. Preve<U+2026> https://t.co/jdwtINU74k",FALSE,1,,2019-03-06 19:00:00,TRUE,,"1103369657002741760",,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PAHealthDept",1,FALSE,FALSE,,
"Greater access to healthcare at a lower cost 
#Telemedicine #Symptomtosolution #DallasMoms #DocInABox #BehindTheBox<U+2026> https://t.co/s7oQMCJiPK",FALSE,0,,2019-03-06 18:53:25,TRUE,,"1103368000999251976",,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MDBoxapp",0,FALSE,FALSE,,
"""Getting the flu vaccine early in #pregnancy is one of the most important things you can do for yourself as an expe<U+2026> https://t.co/1XH6zj7wQQ",FALSE,0,,2019-03-06 18:47:00,TRUE,,"1103366387177791490",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","modhealthtalk",0,FALSE,FALSE,,
