"","Var1","Freq"
"1","26",1
"2","27",1
"3","37",1
"4","42",5
"5","44",1
"6","45",4
"7","63",1
"8","78",3
"9","89",1
"10","97",3
"11","98",1
"12","AR",1
"13","AZ",2
"14","Bl",1
"15","Ca",2
"16","CA",12
"17","Co",3
"18","CO",3
"19","CT",2
"20","DC",10
"21","De",2
"22","Do",1
"23","FL",2
"24","GA",13
"25","IA",1
"26","IL",6
"27","IN",2
"28","KS",13
"29","LA",1
"30","MD",7
"31","Me",4
"32","Mi",1
"33","MI",8
"34","MN",3
"35","MO",1
"36","NC",1
"37","Ne",1
"38","NE",2
"39","NJ",4
"40","NV",1
"41","NY",8
"42","OH",5
"43","OK",3
"44","ON",3
"45","OR",1
"46","PA",5
"47","RI",1
"48","Sa",5
"49","SC",6
"50","SD",1
"51","St",4
"52","TN",1
"53","TX",6
"54","US",12
"55","UT",2
"56","VA",2
"57","WA",1
"58","WI",1
"59","Zo",1
